ttb_id,file_name,brand_name,fanciful_name,class_type,origin,net_contents,abv,warning_present,expected_result,defect_type,source_url,notes
14030001000237,14030001000237.pdf,GEKKEIKAN,BIZAN SWEET POTATO,OTHER SPECIALTIES & PROPRIETARIES,JAPAN,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14030001000237,status SURRENDERED
14030001000242,14030001000242.pdf,GEKKEIKAN,BIZAN RICE,OTHER SPECIALTIES & PROPRIETARIES,JAPAN,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14030001000242,status SURRENDERED
14049001000115,14049001000115.pdf,CASAMIGOS,ANEJO,TEQUILA FB,MEXICO,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14049001000115,status SURRENDERED
14049001000125,14049001000125.pdf,CASAMIGOS,BLANCO,TEQUILA FB,MEXICO,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14049001000125,status SURRENDERED
14049001000131,14049001000131.pdf,CASAMIGOS,REPOSADO,TEQUILA FB,MEXICO,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14049001000131,status SURRENDERED
14051001000202,14051001000202.pdf,MONKEY 47,Type of Application:    LABEL APPROVAL,OTHER GIN FB,GERMANY,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14051001000202,status SURRENDERED
14066001000403,14066001000403.pdf,COTTON HOLLOW,Type of Application:    LABEL APPROVAL,STRAIGHT BOURBON WHISKY,KENTUCKY,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14066001000403,status SURRENDERED
14066001000407,14066001000407.pdf,COTTON HOLLOW,Type of Application:    LABEL APPROVAL,STRAIGHT BOURBON WHISKY,KENTUCKY,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14066001000407,status SURRENDERED
14091001000609,14091001000609.pdf,BLACK MAPLE HILL,Type of Application:    LABEL APPROVAL,STRAIGHT RYE WHISKY,OREGON,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14091001000609,status SURRENDERED
14091001000614,14091001000614.pdf,BLACK MAPLE HILL,Type of Application:    LABEL APPROVAL,STRAIGHT BOURBON WHISKY,OREGON,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14091001000614,status SURRENDERED
14119001000600,14119001000600.pdf,PICARDO,Type of Application:    LABEL APPROVAL,TABLE RED WINE,SPAIN,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14119001000600,status SURRENDERED
14132001000626,14132001000626.pdf,CASAMIGOS,ANEJO,TEQUILA FB,MEXICO,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14132001000626,status SURRENDERED
14132001000629,14132001000629.pdf,CASAMIGOS,BLANCO,TEQUILA FB,MEXICO,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14132001000629,status SURRENDERED
14132001000632,14132001000632.pdf,CASAMIGOS,REPOSADO,TEQUILA FB,MEXICO,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14132001000632,status SURRENDERED
14135001000060,14135001000060.pdf,HIZAN,Type of Application:    LABEL APPROVAL,TABLE WHITE WINE,SPAIN,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14135001000060,status SURRENDERED
14164001000118,14164001000118.pdf,HIZAN,COSECHA,TABLE RED WINE,SPAIN,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14164001000118,status SURRENDERED
14171001000099,14171001000099.pdf,BENANTI,BIANCODICASALLE,TABLE WHITE WINE,ITALY,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14171001000099,status SURRENDERED
14193001000064,14193001000064.pdf,BOMBERGER'S DISTILLERY,Type of Application:    LABEL APPROVAL,STRAIGHT BOURBON WHISKY,PENNSYLVANIA,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14193001000064,status SURRENDERED
14224001000432,14224001000432.pdf,QUANTUM LEAP,Type of Application:    LABEL APPROVAL,TABLE WHITE WINE,ITALY,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14224001000432,status SURRENDERED
14231001000068,14231001000068.pdf,GEKKEIKAN,GOLD,SAKE - IMPORTED,JAPAN,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14231001000068,status SURRENDERED
14251001000304,14251001000304.pdf,VICTORIA,Type of Application:    LABEL APPROVAL,ALE,MEXICO,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14251001000304,status SURRENDERED
14317001000468,14317001000468.pdf,KAKU REI,JUNMAI DAIGINJO,SAKE - IMPORTED,JAPAN,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14317001000468,status SURRENDERED
14323001000602,14323001000602.pdf,HOWLING MOON,Type of Application:    LABEL APPROVAL,WHISKY,NORTH CAROLINA,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14323001000602,status SURRENDERED
14351001000537,14351001000537.pdf,SORTILEGE,MAPLE CREAM,OTHER LIQUEUR (CREMES OR CREAMS),CANADA,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14351001000537,status SURRENDERED
14356001000262,14356001000262.pdf,SAILOR JERRY,SPICED RUM,RUM SPECIALTIES,MISSOURI,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=14356001000262,status SURRENDERED
15061001000031,15061001000031.pdf,WOODFORD RESERVE,DOUBLE OAKED SINGLE BARREL BUY THE BARRE,STRAIGHT BOURBON WHISKY,COLORADO,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=15061001000031,status SURRENDERED
15078001000196,15078001000196.pdf,QUANTUM LEAP,Type of Application:    LABEL APPROVAL,DESSERT /PORT/SHERRY/(COOKING) WINE,WASHINGTON,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=15078001000196,status SURRENDERED
15078001000220,15078001000220.pdf,QUANTUM LEAP,Type of Application:    LABEL APPROVAL,TABLE RED WINE,OREGON,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=15078001000220,status SURRENDERED
15173001000487,15173001000487.pdf,I PRANDI BY MARCATO,Type of Application:    LABEL APPROVAL,TABLE WHITE WINE,ITALY,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=15173001000487,status SURRENDERED
15173001000492,15173001000492.pdf,I PRANDI BY MARCATO,Type of Application:    LABEL APPROVAL,TABLE WHITE WINE,ITALY,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=15173001000492,status SURRENDERED
15173001000496,15173001000496.pdf,I PRANDI BY MARCATO,Type of Application:    LABEL APPROVAL,TABLE RED WINE,ITALY,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=15173001000496,status SURRENDERED
15173001000502,15173001000502.pdf,LA GIARETA BY MARCATO,Type of Application:    LABEL APPROVAL,TABLE RED WINE,ITALY,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=15173001000502,status SURRENDERED
15173001000506,15173001000506.pdf,LA GIARETA BY MARCATO,Type of Application:    LABEL APPROVAL,TABLE WHITE WINE,ITALY,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=15173001000506,status SURRENDERED
15225001000313,15225001000313.pdf,YUKI OTOKO,JUNMAI,SAKE - IMPORTED,JAPAN,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=15225001000313,status SURRENDERED
15225001000345,15225001000345.pdf,TENJIN BAYASHI,JUNMAI GINJO,SAKE - IMPORTED,JAPAN,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=15225001000345,status SURRENDERED
15245001000336,15245001000336.pdf,ZUIDAM,DUTCH COURAGE,OTHER GIN FB,NETHERLANDS,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=15245001000336,status SURRENDERED
15271001000113,15271001000113.pdf,WHITE LABEL,Type of Application:    LABEL APPROVAL,CORN WHISKY,VIRGINIA,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=15271001000113,status SURRENDERED
15276001000030,15276001000030.pdf,STOLL + WOLFE,Type of Application:    LABEL APPROVAL,WHISKY,PENNSYLVANIA,,,,match,none,https://www.ttbonline.gov/colasonline/viewColaDetails.do?action=publicDisplaySearchBasic&ttbid=15276001000030,status SURRENDERED
